"notificationId","recipientUserId","message","type","relatedItemId","isRead","createdAt","triggeringUserId"
NOTIF01118486-5ede-47c0-8bae-2cb9e6fdcfd2,U469207493b77a96204cececea31c127d,กฤติยา พุกสุข ได้กดไลค์รายงานของคุณ,like,SUBa250eb01-f421-420d-ba34-fda47eddfae3,1,"2025-09-11 01:54:56",
NOTIF01180995-6081-4a7a-991c-1a263079be50,U463d6c75321700740b8093575d6aaaf3,กฤติยา พุกสุข ได้กดไลค์รายงานของคุณ,like,SUBc420556c-676e-41ae-9d0a-ae5d69053296,1,"2025-09-11 02:01:19",
NOTIF011a3a9c-472a-4b86-bbc0-553324882db2,U9385e759d7c6eb3f001317f8d640fdad,มลฤดี พรมจินดา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB1a8afafe-6603-4fd1-826a-ffa49abf0f28,1,"2025-09-12 04:57:05",
NOTIF011c1945-e1bc-4d83-bbc9-b40820fad3e3,U92bc31e9a59a7fd8cf56cd9f216cb062,ลักษณา ติงสุวาทิตย์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB29e3065b-2732-4ac7-8744-a0b3369b6bc3,0,"2025-09-11 09:47:40",
NOTIF01325781-d796-4dc7-b192-495b76144fb2,U9385e759d7c6eb3f001317f8d640fdad,อุษณี ทาแว่น ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB1c5f4c32-1473-4979-8d16-d62d23795b50,1,"2025-09-12 04:05:11",
NOTIF01366ccb-4a25-4082-8318-1f7418011ac2,U469207493b77a96204cececea31c127d,นกน้อย ศรสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBa250eb01-f421-420d-ba34-fda47eddfae3,1,"2025-09-11 01:50:43",
NOTIF01443c8b-9b39-45f3-9162-9c3e3d36197e,U518990f3753ab23beb7e49b82e53e77f,ชลธิชา วัฒนโชติ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB97ed631c-042e-4926-8b15-62c94abd3d65,1,"2025-09-12 12:38:15",
NOTIF017a463c-858a-4e89-bbca-8faf02614456,U9385e759d7c6eb3f001317f8d640fdad,อรกานต์ ดีนา ได้กดไลค์รายงานของคุณ,like,SUB8cb42db1-1865-4e53-b2e3-ec25fb8eb5ef,1,"2025-09-12 03:01:25",
NOTIF017e87ae-e964-40de-8a2f-f444c83ed1a7,U3f08e5c27ff57004358e74657c179dfb,ลักษณา ติงสุวาทิตย์ ได้กดไลค์รายงานของคุณ,like,SUBd6d03fef-47be-497f-973b-bd85db0c3e7c,1,"2025-09-11 01:27:45",
NOTIF0194b177-4a45-4209-a196-63d235576634,Ubc67e7c29d5696063c2df82c3f7e4a5b,จารุวรรณ อินตาโย ได้กดไลค์รายงานของคุณ,like,SUBa4adcb81-3dc6-4841-82ce-1673a40ab069,1,"2025-09-11 13:25:36",
NOTIF019afeab-1690-4531-92e5-62d08a66c3bc,U5afd1eef67eaddb04a1429c4818f0191,มลฤดี พรมจินดา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBa0f64007-e413-4da0-9780-338c878a1391,0,"2025-09-12 04:47:40",
NOTIF01a158b4-d498-4789-bb18-6c990cdc2d25,U469207493b77a96204cececea31c127d,วรรณนิภา ชาไชย ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBa250eb01-f421-420d-ba34-fda47eddfae3,1,"2025-09-11 04:57:04",
NOTIF01b482e6-5db1-4175-83c2-5cd1a4d20674,Ue977dea7d3c75347dc63b6bd88368dec,มลฤดี พรมจินดา ได้กดไลค์รายงานของคุณ,like,SUBe7acc318-2d28-4ab5-bc3e-05dd3492de70,0,"2025-09-11 10:44:36",
NOTIF01cf4c54-bf39-4ab6-9a81-d7c89b356fa3,U3d8672323b01c53622834c9858a1ebed,พเยาว์  อุ่นเรือน ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB80db0b9e-5286-42d2-b19e-ddb8519ef39d,0,"2025-09-13 22:40:39",
NOTIF01f20a7d-4c65-4819-a043-14bd7cd7cf4d,U9385e759d7c6eb3f001317f8d640fdad,อุษณี ทาแว่น ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBb6e891c5-a3a4-43c1-8c0a-733e29c94a0b,1,"2025-09-12 04:04:19",
NOTIF021f7a2c-0eb6-45aa-a194-5a8c00206d7e,U5ed5f1ea35304e72d2785df3c705470a,สุจิตรา สร้อยจักร ได้กดไลค์รายงานของคุณ,like,SUBa57a01aa-f70f-461c-923a-6c7c08a7a00c,0,"2025-09-14 09:43:24",
NOTIF0225103c-8407-4d61-9cba-0da73cb6bb5d,Ufb9e106fa98bb35ade0accad707044e3,ลักษณา ติงสุวาทิตย์ ได้กดไลค์รายงานของคุณ,like,SUBaa9520ee-ec6a-4c24-828d-8504640725a7,1,"2025-09-11 09:46:41",
NOTIF02342ab7-d424-4d39-a421-a426bb1af836,U7a8d3441ae9970b804014850a0157eeb,รุ่งนภา สุวรรณสุขโข ได้กดไลค์รายงานของคุณ,like,SUBc279c71f-f704-4256-9024-bd22aa35ac57,1,"2025-09-11 06:04:32",
NOTIF02373dac-5c42-4e22-ad59-235d59c4be90,U9c40686f168b74fadc4ce5f0f7508532,ชัยวัฒน์ แก้วขาว ได้กดไลค์รายงานของคุณ,like,SUBd02ec8ab-0cdc-4368-b564-7ee2c37e3cdc,0,"2025-09-11 15:02:14",
NOTIF02735087-94d2-4e63-8597-fa5e9db4a1ff,U9385e759d7c6eb3f001317f8d640fdad,กรรจนา กล่อมกมล ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB2ecdc295-ca96-47d3-9f83-698d87e5894f,1,"2025-09-11 09:22:37",
NOTIF02a5ddb5-a447-4b76-a37d-c954019daa94,U5ed5f1ea35304e72d2785df3c705470a,น้ำอ้อย  ตระกูลรัมย์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB1b2b0ee2-d950-458a-ad01-311ec520bcde,0,"2025-09-12 13:00:18",
NOTIF02cc4dbd-1421-4bce-aeca-67b35ced1f33,Uedf90f9b5212577262c7d4b266e6bd2b,วัลลภ​ กุล​ยะ​ ได้กดไลค์รายงานของคุณ,like,SUB2c950d21-85c6-4278-b2ce-d3fd9e3e8b7d,0,"2025-09-11 11:12:43",
NOTIF02d2e56c-a43e-44c7-b669-4d6ac5d3c887,U5ed5f1ea35304e72d2785df3c705470a,มลฤดี พรมจินดา ได้กดไลค์รายงานของคุณ,like,SUBbb6b6e0f-5dac-4a05-af8d-cd94ee142208,0,"2025-09-11 10:45:08",
NOTIF02f2c31f-908d-4603-acb5-ffe40453c70f,U9385e759d7c6eb3f001317f8d640fdad,สัตยา วงศ์ชมภู ได้กดไลค์รายงานของคุณ,like,SUB1a8afafe-6603-4fd1-826a-ffa49abf0f28,1,"2025-09-11 10:28:24",
NOTIF03051374-fbb3-4d88-ab66-b09269b0e3ec,U5ed5f1ea35304e72d2785df3c705470a,วิภาดา เอียมโพธิ์ ได้กดไลค์รายงานของคุณ,like,SUBbb6b6e0f-5dac-4a05-af8d-cd94ee142208,0,"2025-09-12 01:27:52",
NOTIF030a8582-eac3-46d1-a7fa-3da26d126351,U3f08e5c27ff57004358e74657c179dfb,อุษณี ทาแว่น ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBd6d03fef-47be-497f-973b-bd85db0c3e7c,1,"2025-09-11 03:57:08",
NOTIF03147cb7-f53d-49e1-b421-8f0d68617be0,U3f08e5c27ff57004358e74657c179dfb,อภิเชษฐ ศรีวิจารย์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB4c936563-34e2-4612-b76c-a92da1562895,1,"2025-09-11 02:42:14",
NOTIF03212c98-9991-408e-ace7-1aa4a22c2178,U410bb259434247e428bffe17a4c7886e,ชัญญาภัส คำสมศรี ได้กดไลค์รายงานของคุณ,like,SUBf4161ae1-c34a-4833-bce7-f62f09a99335,1,"2025-09-11 01:11:29",
NOTIF03396bcb-e926-438c-83db-e4ee9e214215,U3a58c14c4089df265b64a0bb6d11fa97,ทิพวัลย์ พรมอาสา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB8a163f02-8888-473e-9b3b-112721b3a6a3,0,"2025-09-12 14:12:29",
NOTIF0348e9cd-dc74-4e3b-909d-b63f23853b9f,U3f08e5c27ff57004358e74657c179dfb,มนัสชนก  ผายฉิมพลี ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBd6d03fef-47be-497f-973b-bd85db0c3e7c,1,"2025-09-11 13:33:31",
NOTIF0360b4c2-8cdd-4fcb-a162-9358d0c7c5b8,U9f4cd1751d72058789b3805be4eb1a45,จําเนียร  ไถหว่าน ได้กดไลค์รายงานของคุณ,like,SUB12c21e9c-4d31-4aa0-a301-5f38cbc67810,0,"2025-09-12 10:18:59",
NOTIF0369b03a-809b-4538-9ef5-e667d7ff58c7,Udb19859a3e2b7f89c448b9f60b5bfe24,จําเนียร  ไถหว่าน ได้กดไลค์รายงานของคุณ,like,SUB563178f8-83d9-417f-a9c0-099ccf2d0430,0,"2025-09-12 10:29:57",
NOTIF039584f7-55a7-4f7e-af3c-1287c94c2ae3,U1f1f6570c3ac9df4a96572184a0adcc2,ชลธิชา วัฒนโชติ ได้กดไลค์รายงานของคุณ,like,SUB9ed61d50-54cb-4f4e-8544-03c7d5466315,0,"2025-09-12 12:39:33",
NOTIF039fb2f5-9d18-45aa-8949-5d4e54dcc905,U8dda4e319f5ccedd8d291f64ca573540,วิภาดา เอียมโพธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB175fcb99-45c2-48f8-9ff3-fb86bf91abcc,0,"2025-09-11 15:02:56",
NOTIF03a72006-0213-4ea2-8fb5-1e99ad777cb0,U501da046355458a7429f8ab0c1e8462a,มลฤดี พรมจินดา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB01a08bfa-ac7d-4402-b8e1-09607ea83543,0,"2025-09-12 05:07:50",
NOTIF03b3c844-7ed5-49bb-8a71-a7a2271b3f65,U9c40686f168b74fadc4ce5f0f7508532,ชัญญาภัส คำสมศรี ได้กดไลค์รายงานของคุณ,like,SUBd02ec8ab-0cdc-4368-b564-7ee2c37e3cdc,0,"2025-09-11 04:34:40",
NOTIF03c4f5a8-aff9-4946-973d-e6bd52bfbe55,Ubc777d77f1201ce8d42e36326f686132,พเยาว์  อุ่นเรือน ได้กดไลค์รายงานของคุณ,like,SUB75aebbbd-a4da-46d8-8ccc-44acb6e1476b,1,"2025-09-15 00:41:06",
NOTIF03c547f6-c0d5-4688-a9d1-bfdf137fc16a,U328d2169190bd9b4301bc82564becc30,ปราณี คงประสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBb3b34ed1-0c94-4d73-a37c-6dc5b83b470a,0,"2025-09-11 12:29:13",
NOTIF03cd3488-aa08-4522-9bff-602cf7e9a220,Uf28573e75b2ff38e7a6d806a2029fc96,สุมนทา ไร่เจริญ ได้กดไลค์รายงานของคุณ,like,SUB0742f4b8-4f1c-4e09-863f-612748eb2cd3,1,"2025-09-11 09:32:22",
NOTIF040175d6-2ae7-4143-ae48-2dd1a6d4d87b,U9d4aa5f02d876ee6487668e628b546aa,ปราณี คงประสิทธิ์ ได้กดไลค์รายงานของคุณ,like,SUBce6459d5-d4b1-4a0b-aa17-645c7e1eae6e,0,"2025-09-11 12:30:09",
NOTIF0418e508-eba9-4814-a18a-982edbd7ee5a,U5ed5f1ea35304e72d2785df3c705470a,จําเนียร  ไถหว่าน ได้กดไลค์รายงานของคุณ,like,SUB9f755b69-77dc-41d1-925a-7bb32a78537d,0,"2025-09-12 10:23:13",
NOTIF04506a45-9ac6-4f36-a119-d3fd29df561f,U3f08e5c27ff57004358e74657c179dfb,นกน้อย ศรสิทธิ์ ได้กดไลค์รายงานของคุณ,like,SUB4c936563-34e2-4612-b76c-a92da1562895,1,"2025-09-11 01:24:58",
NOTIF046108b9-3a2e-4f8c-a314-66edb0ca0bcb,Uc523df09a4fd07dd2dfb55af99b9fc42,กฤษศรานุพงศ์ บรรจงจิต ได้กดไลค์รายงานของคุณ,like,SUBb2d2d3cc-f3c5-419b-a65d-54b2b9fa1a42,1,"2025-09-10 12:56:36",
NOTIF0468d8b5-bb7c-4470-837b-ec3acfc99d99,U463d6c75321700740b8093575d6aaaf3,จำปา   จบศรี ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBbe1575b4-673b-4fad-b01c-2c81764e5d20,1,"2025-09-11 00:52:39",
NOTIF046fa835-de5d-4bdc-8f63-0019b011a682,U463d6c75321700740b8093575d6aaaf3,ทิพวัลย์ พรมอาสา ได้กดไลค์รายงานของคุณ,like,SUBbe1575b4-673b-4fad-b01c-2c81764e5d20,1,"2025-09-11 05:44:03",
NOTIF04d7b6f1-fc98-40e9-af69-9735fccc55b1,U9385e759d7c6eb3f001317f8d640fdad,อรกานต์ ดีนา ได้กดไลค์รายงานของคุณ,like,SUBb6e891c5-a3a4-43c1-8c0a-733e29c94a0b,1,"2025-09-12 03:02:03",
NOTIF04d88cb5-54e5-4775-b93f-9dc8b764b4fe,Udd3dd6ba767a06c794be9d6c8e4a3db2,ปราณี คงประสิทธิ์ ได้กดไลค์รายงานของคุณ,like,SUBf508fa1f-f568-443f-a442-f3732b88b4ac,0,"2025-09-12 07:53:45",
NOTIF04f300ef-6959-41b3-b113-bbe58dc87f75,U54ecd6a77c2c8805e6a64d8fec358aff,ทิพวัลย์ พรมอาสา ได้กดไลค์รายงานของคุณ,like,SUBab260b70-fc62-4f37-9cf9-1e2776458cb0,0,"2025-09-12 14:02:25",
NOTIF0507af02-1084-4480-a8d1-2a8597a76610,Uc3deb58f23a35214bef4304af0f4ce31,สุจิตรา สร้อยจักร ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBd12bc5b0-6ffc-4f1d-9ff0-fec4d11e507f,0,"2025-09-14 09:40:26",
NOTIF0508d7d8-d876-4a8d-a2f3-7fccb5a78aac,U2cacaa74d96ff2c259f6ea4d4155bd51,วรรณนิภา ชาไชย ได้กดไลค์รายงานของคุณ,like,SUB1885f835-89c6-4134-b50e-61f4e2f8d1cf,0,"2025-09-12 13:27:10",
NOTIF051f206d-b0e3-415b-8b45-df356e7f96c7,U9385e759d7c6eb3f001317f8d640fdad,สุมนทา ไร่เจริญ ได้กดไลค์รายงานของคุณ,like,SUB1c5f4c32-1473-4979-8d16-d62d23795b50,1,"2025-09-11 09:35:30",
NOTIF05242ff3-4984-4404-87ae-63c31eb96865,U8dda4e319f5ccedd8d291f64ca573540,นกน้อย ศรสิทธิ์ ได้กดไลค์รายงานของคุณ,like,SUB175fcb99-45c2-48f8-9ff3-fb86bf91abcc,0,"2025-09-11 02:05:06",
NOTIF05252a9c-f1a4-4cd6-a33a-20ec297b6176,Udd3dd6ba767a06c794be9d6c8e4a3db2,ชัยวัฒน์ แก้วขาว ได้กดไลค์รายงานของคุณ,like,SUBf508fa1f-f568-443f-a442-f3732b88b4ac,0,"2025-09-11 09:32:37",
NOTIF0555ff67-f666-41f7-ade5-44cbc18cab13,U463d6c75321700740b8093575d6aaaf3,วิภาดา เอียมโพธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBc420556c-676e-41ae-9d0a-ae5d69053296,1,"2025-09-11 05:48:57",
NOTIF055d4735-32eb-49ae-a6c5-83517c1d0c28,U463d6c75321700740b8093575d6aaaf3,สุมนทา ไร่เจริญ ได้กดไลค์รายงานของคุณ,like,SUBcc819b7c-c2e4-4cf4-a536-e9fda344a235,1,"2025-09-11 09:35:47",
NOTIF05765cec-5833-4e70-b120-ab5b17f050ea,U3dd88218198a95b733087bc1362e9844,จําเนียร  ไถหว่าน ได้กดไลค์รายงานของคุณ,like,SUB49ab38a8-0bfc-446b-ad79-65df5960f20d,0,"2025-09-12 10:20:08",
NOTIF05898d8d-ba50-4608-b59c-849802a3a93a,Ua6166688603926b5ecb49f220e1d3cb7,มนัสชนก  ผายฉิมพลี ได้กดไลค์รายงานของคุณ,like,SUBb01ab325-4542-4744-ab17-8e91b45aff7c,0,"2025-09-14 15:24:35",
NOTIF05b71f98-611e-49a6-a7db-257caa23a6a9,U92bc31e9a59a7fd8cf56cd9f216cb062,ชลธิชา วัฒนโชติ ได้กดไลค์รายงานของคุณ,like,SUB29e3065b-2732-4ac7-8744-a0b3369b6bc3,0,"2025-09-12 12:12:27",
NOTIF05b8d386-0afe-4143-81bd-b38a9dbac651,U9385e759d7c6eb3f001317f8d640fdad,ทิพวัลย์ พรมอาสา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB1c5f4c32-1473-4979-8d16-d62d23795b50,1,"2025-09-11 05:37:16",
NOTIF05cce3de-a8ef-4dc8-9b33-1e9c14cc2bbf,U9f4cd1751d72058789b3805be4eb1a45,นฤมล คุ้มไพรี ได้กดไลค์รายงานของคุณ,like,SUB12c21e9c-4d31-4aa0-a301-5f38cbc67810,1,"2025-09-11 03:30:31",
NOTIF05eff72f-b62e-4981-8960-b6c7082fb04b,U9385e759d7c6eb3f001317f8d640fdad,รัตติยา บุญยะศิลป์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB2ecdc295-ca96-47d3-9f83-698d87e5894f,1,"2025-09-11 01:06:28",
NOTIF0601077b-4d90-493f-b9a9-fadc2f8d7b20,Uf20c23c9596afc70d7fe37ac133c0410,สัตยา วงศ์ชมภู ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB3f0d51b4-e9b6-40fd-b46c-795f122436c2,1,"2025-09-11 09:57:44",
NOTIF06031519-cc46-448a-8b7e-83c5fa17f8d1,U5ed5f1ea35304e72d2785df3c705470a,รุ่งทิวา บุญอภัย ได้กดไลค์รายงานของคุณ,like,SUBa46f3355-c584-4018-8d86-8104525c80b6,0,"2025-09-11 05:20:56",
NOTIF060d7a76-e5ed-44dd-ad7f-74757046fd17,U5ed5f1ea35304e72d2785df3c705470a,จําเนียร  ไถหว่าน ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB1b2b0ee2-d950-458a-ad01-311ec520bcde,0,"2025-09-12 10:21:52",
NOTIF06188f1b-3c35-473d-9354-e4a04ee02b9d,U522840aba03a1f1b8583b52dc34a5d3c,รายงานของคุณได้รับการอนุมัติ และได้รับ 30 คะแนน,approved,SUB2818111c-9fc8-4394-8c76-b926a1be433d,0,"2025-09-11 10:22:22",
NOTIF061dbfff-7d4b-494f-b4af-14f64a499b02,Udb19859a3e2b7f89c448b9f60b5bfe24,นฤมล คุ้มไพรี ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB689abf86-db2e-4380-ab7c-812271c3d7c8,0,"2025-09-11 11:20:03",
NOTIF0636a781-6764-4006-8caf-1c0465db96b9,Ufb9e106fa98bb35ade0accad707044e3,วรรณนิภา ชาไชย ได้กดไลค์รายงานของคุณ,like,SUBaa9520ee-ec6a-4c24-828d-8504640725a7,1,"2025-09-12 13:29:44",
NOTIF06689375-3b95-41aa-8764-f565621d42c3,U5ed5f1ea35304e72d2785df3c705470a,น้ำอ้อย  ตระกูลรัมย์ ได้กดไลค์รายงานของคุณ,like,SUBc5c4be45-464a-4633-92bd-e8d0246032e1,0,"2025-09-12 13:00:35",
NOTIF066aef77-3054-4fe2-87f6-108206ba195b,U26dc7ee55dde44e859ab6a4ea32d0194,นฤมล คุ้มไพรี ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB33a2c4b1-d6a5-427d-8b89-1b23087966ca,0,"2025-09-11 10:05:12",
NOTIF068f371d-9f56-464d-b927-0d3cebee701c,U9385e759d7c6eb3f001317f8d640fdad,สัตยา วงศ์ชมภู ได้กดไลค์รายงานของคุณ,like,SUB8cb42db1-1865-4e53-b2e3-ec25fb8eb5ef,1,"2025-09-11 10:28:25",
NOTIF0697164f-d14d-42ac-9154-9cb10016e9e3,Ub625b4727c46dc389dcfd34b04514363,ปราณี คงประสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB89c88096-a002-448d-9ad4-46318b0f71e8,0,"2025-09-12 07:46:04",
NOTIF069a96c7-2cce-4da8-aaca-25710cee4fc4,U3f08e5c27ff57004358e74657c179dfb,ไพริน วิริยา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB4c936563-34e2-4612-b76c-a92da1562895,1,"2025-09-10 14:52:26",
NOTIF069ab535-e6b6-4989-9905-3646a07b46cb,U6c40662caf0cc16bd892426940f43843,รานี  หาญรักษ์ ได้กดไลค์รายงานของคุณ,like,SUBc4ffecf1-0f4e-4f86-87c4-a11f4b813779,0,"2025-09-12 06:19:00",
NOTIF06b4d5e4-7092-4dc7-9f54-1cfb1e3af729,Ua25338cd306d213f6207471b79dde3e0,ปราณี คงประสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBf8e60540-fd58-4f77-9604-d938e5b4f146,0,"2025-09-12 13:26:01",
NOTIF06be698b-858b-4128-ade2-f239923b7a37,U5ed5f1ea35304e72d2785df3c705470a,ปราณี คงประสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB9f755b69-77dc-41d1-925a-7bb32a78537d,0,"2025-09-12 07:51:23",
NOTIF06db9616-6895-48cd-a5e6-73d4782521b4,U463d6c75321700740b8093575d6aaaf3,ปราณี คงประสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBcc819b7c-c2e4-4cf4-a536-e9fda344a235,1,"2025-09-12 07:46:53",
NOTIF06e88c33-3718-44ad-801f-0d178ff9b994,U5ed5f1ea35304e72d2785df3c705470a,นฤมล คุ้มไพรี ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB4a553b06-3c7d-4163-b405-7ca1c216c1be,0,"2025-09-11 10:02:03",
NOTIF06f4a614-ed44-428b-bda4-72f457f9ebe9,U9385e759d7c6eb3f001317f8d640fdad,ชัยวัฒน์ แก้วขาว ได้กดไลค์รายงานของคุณ,like,SUB1c5f4c32-1473-4979-8d16-d62d23795b50,1,"2025-09-11 09:12:02",
NOTIF0713fdd9-dfc9-4868-ad06-eda9e1d8f41c,U8189c4ebf4b2912ef555d7ebb8227220,มลฤดี พรมจินดา ได้กดไลค์รายงานของคุณ,like,SUBb3d7cbb4-b418-4c7e-870b-b48e1ab068b8,0,"2025-09-12 13:24:58",
NOTIF072bf1dd-3641-42c2-84dc-a764728a4220,Udb19859a3e2b7f89c448b9f60b5bfe24,สุกัญญา คำทา ได้กดไลค์รายงานของคุณ,like,SUB62f924c3-77ef-4570-99f6-438681262688,0,"2025-09-12 04:25:03",
NOTIF07568f98-81c6-423a-8a35-248d269c19ce,U5ed5f1ea35304e72d2785df3c705470a,ลักษณา ติงสุวาทิตย์ ได้กดไลค์รายงานของคุณ,like,SUB1b2b0ee2-d950-458a-ad01-311ec520bcde,0,"2025-09-12 01:26:25",
NOTIF0769c0f1-1a27-48e3-86a7-8b09bc3b3f46,U9f4cd1751d72058789b3805be4eb1a45,ปราณี คงประสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB12c21e9c-4d31-4aa0-a301-5f38cbc67810,0,"2025-09-11 12:27:09",
NOTIF07791d20-cbdb-4c69-8982-ad85c62f04d7,U9385e759d7c6eb3f001317f8d640fdad,กรรจนา กล่อมกมล ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB1c5f4c32-1473-4979-8d16-d62d23795b50,1,"2025-09-11 09:21:41",
NOTIF07a553c7-cd1c-4bbb-801c-481ca3ac7b45,U5bbac6bb6e63ec02fbf3af7b5bac31b0,วรรณนิภา ชาไชย ได้กดไลค์รายงานของคุณ,like,SUBe483939c-6adb-421b-b26d-26b345be40e8,1,"2025-09-11 00:58:29",
NOTIF07bc646b-a6f9-406a-b7db-91c911d91cd9,U5ed5f1ea35304e72d2785df3c705470a,กฤษศรานุพงศ์ บรรจงจิต ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB466001d6-c06c-460e-ae31-9273b26fd450,0,"2025-09-12 00:45:03",
NOTIF07c2c8c0-ef86-438a-a6f9-e77adbe42c10,U9d4aa5f02d876ee6487668e628b546aa,พีรายุทธ ได้กดไลค์รายงานของคุณ,like,SUBce6459d5-d4b1-4a0b-aa17-645c7e1eae6e,0,"2025-09-11 09:30:36",
